"Revised  NEET-UG  Counselling Seats Allotment -2025 Round 3","","","","","","","","","","","","","","","",""
"Round 1","","","","","Round 2","","","","","Round 3","","","","","",""
"Rank","Allotted Quota","Allotted Institute","Course","Remarks","Allotted Quota","Allotted Institute","Course","Remarks","Allotted Quota","","Allotted Institute","Course","Alloted Category","candidate Category","option No.","Remarks"
"5250","All India","G.S.V.M. MEDICAL COLLEGE, KANPUR","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5252","-","-","-","-","-","-","-","-","Open Seat Quota","","Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002","MBBS","Open","OBC","5","Fresh Allotted in 3nd Round"
"5253","All India","Government Medical College, ESIC, Kollam","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5254","All India","PATNA MEDICAL COLLEGE, PATNA","MBBS","Reported","-","-","-","-","Open Seat Quota","","AIIMS, Kalyani,NH-34 Connector, Basantapur, Saguna, Kalyani, 741245, West Bengal, India, West Bengal, 741245","MBBS","EWS","EWS","15","Upgraded"
"5256","All India","LOKMANYA TILAK MUNICIPAL M C,MUMBAI","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Not Allotted."
"5257","All India","MAHARANI LAXMI BAI MEDICAL COLL,JHANSI","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5259","All India","B.R.D. MEDICAL COLLEGE, GORAKHPUR","MBBS","Not Reported","All India","L.L.R.M. MEDICAL COLLEGE, MEERUT","MBBS","Reported","All India","","Dr Ram Manohar Lohia Inst. of Med. Sce., Lucknow,Vibhuti Khand
Gomti Nagar Lucknow, Uttar Pradesh,
226010","MBBS","Open","General","24","Upgraded"
"5260","-","-","-","-","All India","GOVT.MEDICAL COLLEGE,THIRUVANANT HAPURAM","MBBS","Reported","-","","-","-","-","-","-","No Upgradation"
"5261","Delhi University Quota","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"5262","Delhi University Quota","Lady Hardinge Medical College, New Delhi(Female Seat only )","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"5263","All India","RAJENDRA INST. OF MED. SCI., RANCHI","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5264","All India","GOVT. VELLORE MEDICAL COLLEGE, VELLORE","MBBS","Not Reported","All India","STANLEY MEDICAL COLLEGE, CHENNAI","MBBS","Not Reported","-","","-","-","-","-","-","Did not fill up fresh choices."
"5265","Delhi University Quota","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5267","All India","Govt Medical College, Palakkad","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5268","All India","KARNATAK INST. OF MEDICAL SC.,HUBLI","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5269","IP
University Quota","Atal Bihari Vajpayee Institute of Medical Sciences & DR RML HOSPITAL, NEW DELHI","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"5270","All India","M.G.M. MEDICAL COLLEGE, INDORE","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5271","All India","Employees State Insurance Corporation Medical College, Alwar","MBBS","Not Reported","All India","ESIC Medical College, Faridabad","MBBS","Not Reported","-","","-","-","-","-","-","Did not fill up fresh choices."
"5272","Employee s State Insurance Scheme( ESI)","ESIC Medical College, Hyderbad","MBBS","Not Reported","All India","GMC, Manjeri, Kerala","MBBS","Not Reported","-","","-","-","-","-","-","Did not fill up fresh choices."
"5274","All India","Government Medical College and ESIC Hospital, Coimbatore","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5276","Open Seat Quota","AIIMS Guwahati","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","No Upgradation"
"5279","-","-","-","-","All India","GOVT.MEDICAL COLLEGE, AMRITSAR","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5280","-","-","-","-","-","-","-","-","Open Seat Quota","","AIIMS Guwahati,PO- CHANGSARI, DISTRICT- KAMRUP, Assam, 781101","MBBS","OBC","OBC","23","Fresh Allotted in 3nd Round"
"5281","-","-","-","-","All India","Government Doon Medcial College, Dehradun","MBBS","Reported","-","","-","-","-","-","-","Did not fill up fresh choices."
"5282","-","-","-","-","All India","GOVT.MEDICAL COLLEGE, KOTA","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5284","Delhi University Quota","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"5288","All India","Government Medical College and ESIC Hospital, Coimbatore","MBBS","Not Reported","All India","STANLEY MEDICAL COLLEGE, CHENNAI","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5289","Delhi University Quota","Lady Hardinge Medical College, New Delhi(Female Seat only )","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5292","All India","GOVERNMENT MEDICAL COLLEGE, SURAT","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5295","All India","Employees State Insurance Corporation Medical College, Alwar","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5296","All India","Dr. B.R. Ambedkar State Institute of Medical Sciences","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Not Allotted."
"5299","Open Seat Quota","AIIMS, Nagpur","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"5300","-","-","-","-","Open Seat Quota","Jawaharlal Nehru Medical College, AMU,ALIGARH","MBBS","Not Reported","-","","-","-","-","-","-","Not Allotted."
"5301","-","-","-","-","Open Seat Quota","AIIMS, Madurai","MBBS","Reported","-","","-","-","-","-","-","No Upgradation"
"5303","All India","M.G.M. MEDICAL COLLEGE, INDORE","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5304","-","-","-","-","-","-","-","-","Open Seat Quota","","Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002","MBBS","Open","OBC","1","Fresh Allotted in 3nd Round"
"5308","All India","DR.RAJENDRA PRASAD MC, TANDA","MBBS","Not Reported","Open Seat Quota","AIIMS Guwahati","MBBS","Reported","Open Seat Quota","","AIIMS Jammu,AIIMS, Vijaypur, Jammu, Jammu and Kashmir, Jammu And Kashmir, 181134","MBBS","EWS","EWS","9","Upgraded"
"5309","-","-","-","-","All India","DR.S.N. MEDICAL COLLEGE, JODHPUR","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5310","Open Seat Quota","AIIMS Guwahati","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5311","All India","GOVT. MEDICAL COLLEGE, NAGPUR","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","No Upgradation"
"5314","All India","GOVT. MEDICAL COLLEGE, KOZHIKODE","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"5315","All India","RAJENDRA INST. OF MED. SCI., RANCHI","MBBS","Seat Surrendered","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5317","Delhi University Quota","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5319","All India","CALCUTTA NATIONAL MED COLL,KOLKATA","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Not Allotted."
"5320","All India","KARNATAK INST. OF MEDICAL SC.,HUBLI","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5321","All India","NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5324","All India","L.L.R.M. MEDICAL COLLEGE, MEERUT","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5325","-","-","-","-","All India","STANLEY MEDICAL COLLEGE, CHENNAI","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5328","All India","GOVT. MOHAN KUMARAMANGALAM M.C.,SALEM","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5329","Aligarh Muslim University (AMU)
Quota","Jawaharlal Nehru Medical College, AMU,ALIGARH","MBBS","Reported","-","-","-","-","Open Seat Quota","","Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002","MBBS","Open","General","1","Upgraded"
"5330","-","-","-","-","All India","GOVT.MEDICAL COLLEGE,THIRUVANANT HAPURAM","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5332","All India","GAJRA RAJA MEDICAL COLLEGE, GWALIOR","MBBS","Not Reported","All India","M.G.M. MEDICAL COLLEGE, INDORE","MBBS","Not Reported","-","","-","-","-","-","-","Not Allotted."
"5334","All India","M.G.M. MEDICAL COLLEGE, INDORE","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"5335","All India","MEDICAL COLLEGE, BARODA","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5336","-","-","-","-","All India","CHENGALPATTU MEDICAL COLL,CHENGALPATTU","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5338","All India","Andhra Medical College, Visakhapatnam","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5339","All India","JHALAWAR MEDICAL
COLLEGE, Jhalawar","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5340","-","-","-","-","-","-","-","-","All India","","Osmania Medical College Koti
,HYDERABAD, Telangana, 500095","MBBS","Open","General","4","Fresh Allotted in 3nd Round"
"5343","All India","M.G.M. MEDICAL COLLEGE, INDORE","MBBS","Not Reported","All India","GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI","MBBS","Not Reported","-","","-","-","-","-","-","Did not fill up fresh choices."
"5345","All India","M.P. SHAH MEDICAL COLLEGE, JAMNAGAR","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5347","All India","GOVERNMENT MEDICAL COLLEGE, SURAT","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5348","Delhi University Quota","Lady Hardinge Medical College, New Delhi(Female Seat only )","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5349","All India","CALCUTTA NATIONAL MED COLL,KOLKATA","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5350","All India","GOVT. MEDICAL COLLEGE, KOZHIKODE","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"5352","All India","GOVERNMENT MEDICAL COLLEGE, SURAT","MBBS","Not Reported","Open Seat Quota","JIPMER KARAIKAL","MBBS","Not Reported","All India","","Bangalore Medical College and Research Institute,K R ROAD FORT BENGALURU,
Karnataka, 560002","MBBS","OBC","OBC","11","Fresh Allotted in 3nd Round"
"5353","All India","Pt. D.D.U MEDICAL COLLEGE, RAJKOT","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","No Upgradation"
"5354","All India","PT. B.D. SHARMA PGIMS, ROHTAK","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"5355","All India","Govt. Medical College, Jammu","MBBS","Reported","All India","Hinduhridayasamrat Balasaheb Thackeray Medical College and Dr. R.
N. Cooper Municipal General Hospital,
Maharashtra","MBBS","Reported","-","","-","-","-","-","-","Did not fill up fresh choices."
"5356","All India","Kakatiya Medical College Warangal","MBBS","Reported","All India","GUNTUR MEDICAL COLLEGE, GUNTUR","MBBS","Reported","All India","","ESIC Medical College, Hyderbad,Sanathnagar, Hyderabad, Telangana, 500038","MBBS","Open","General","3","Upgraded"
"5358","Open Seat Quota","AIIMS, Rishikesh","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"5359","All India","NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA","MBBS","Not Reported","-","-","-","-","All India","","INST OF PG MED EDU & RESEARCH,KOLKATA,244
AJC Bose Road, Kolkata, West Bengal, 700020","MBBS","Open","General","22","Fresh Allotted in 3nd Round"
"5364","Delhi University Quota","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"5365","Delhi University Quota","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"5366","Delhi University Quota","Lady Hardinge Medical College, New Delhi(Female Seat only )","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"5367","All India","MAHARAJA K.C. GAJAPATI M.C.,BRAHMAPUR","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5368","-","-","-","-","All India","MEDICAL COLLEGE, KOLKATA","MBBS","Not Reported","-","","-","-","-","-","-","Did not fill up fresh choices."
"5369","Open Seat Quota","AIIMS, Bhubaneswar","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","No Upgradation"
"5370","All India","Dr. B.R. Ambedkar State Institute of Medical Sciences","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Not Allotted."
"5372","-","-","-","-","-","-","-","-","Open Seat Quota","","Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002","MBBS","Open","General","1","Fresh Allotted in 3nd Round"
"5373","All India","TOPIWALA NATIONAL MEDICAL COLLEGE,MUMBAI","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5375","-","-","-","-","All India","STANLEY MEDICAL COLLEGE, CHENNAI","MBBS","Not Reported","-","","-","-","-","-","-","Did not fill up fresh choices."
"5380","-","-","-","-","All India","DR.S.N. MEDICAL COLLEGE, JODHPUR","MBBS","Reported","All India","","RUHS College of Medical Sciences, Jaipur,RUHS COLLEGE OF MEDICAL SCIENCES, SECTOR -11, PRATAP NAGAR, SANGANER, JAIPUR 302033,
Rajasthan, 302033","MBBS","OBC","OBC","2","Upgraded"
"5382","-","-","-","-","-","-","-","-","Open Seat Quota","","AIIMS Guwahati,PO- CHANGSARI, DISTRICT- KAMRUP, Assam, 781101","MBBS","OBC","OBC","7","Fresh Allotted in 3nd Round"
"5387","Aligarh Muslim University (AMU)
Quota","Jawaharlal Nehru Medical College, AMU,ALIGARH","MBBS","Reported","-","-","-","-","Open Seat Quota","","Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002","MBBS","Open","EWS","1","Upgraded"
"5390","All India","ESIC Medical College AND PGIMSR, Chennai","MBBS","Not Reported","-","-","-","-","All India","","STANLEY MEDICAL COLLEGE, CHENNAI,No.1,
Old Jail Road Chennai, Tamil Nadu, 600001","MBBS","Open","General","4","Fresh Allotted in 3nd Round"
"5391","All India","KARNATAK INST. OF MEDICAL SC.,HUBLI","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5392","All India","Govt Medical College, Idukki","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5394","All India","Government Medical College, Konni","MBBS","Not Reported","Open Seat Quota","AIIMS, Madurai","MBBS","Not Reported","-","","-","-","-","-","-","Did not fill up fresh choices."
"5396","All India","Government Medical College, ESIC, Kollam","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5397","All India","JAWAHAR LAL NEHRU MEDICAL, AJMER","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5403","All India","MAHARAJA K.C. GAJAPATI M.C.,BRAHMAPUR","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5410","All India","KURNOOL MEDICAL COLLEGE, KURNOOL","MBBS","Reported","All India","MADURAI MEDICAL COLLEGE, MADURAI","MBBS","Reported","Open Seat Quota","","JIPMER KARAIKAL,JIPMER
Academic Campus, FCI Link Road, Kovilpathu, Karaikal - 609602, Puducherry, 609602","MBBS","Open","General","9","Upgraded"
"5411","All India","Rajiv Gandhi Institute Medical Sce of Adilabad","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Not Allotted."
"5412","-","-","-","-","Open Seat Quota","AIIMS, Madurai","MBBS","Reported","-","","-","-","-","-","-","No Upgradation"
"5413","All India","KARNATAK INST. OF MEDICAL SC.,HUBLI","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5418","All India","Government Medical College, ESIC, Kollam","MBBS","Not Reported","All India","GOVT.MEDICAL COLLEGE,THIRUVANANT HAPURAM","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5419","All India","JHALAWAR MEDICAL
COLLEGE, Jhalawar","MBBS","Not Reported","All India","R.N.T. MEDICAL COLLEGE, UDAIPUR","MBBS","Reported","-","","-","-","-","-","-","No Upgradation"
"5420","-","-","-","-","All India","GOVT. MEDICAL COLLEGE,PATIALA","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5422","Open Seat Quota","JIPMER PUDUCHERRY","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"5424","All India","MEDICAL COLLEGE, BHAVNAGAR","MBBS","Reported","All India","JAWAHAR LAL NEHRU MEDICAL, AJMER","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5425","All India","College Government Medical College Alwar","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5429","-","-","-","-","Open Seat Quota","AIIMS, Madurai","MBBS","Reported","-","","-","-","-","-","-","No Upgradation"
"5431","All India","Kakatiya Medical College Warangal","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5432","All India","GOVERNMENT MEDICAL COLLEGE, SURAT","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5434","All India","B.J. Government Medical College, Pune","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5435","All India","B.R.D. MEDICAL COLLEGE, GORAKHPUR","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Not Allotted."
"5436","All India","K.A.P. VISWANATHAM Govt Medical
College,TIRUCHIRAPALLI","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5437","All India","DR.RAJENDRA PRASAD MC, TANDA","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Not Allotted."
"5439","All India","Employees State Insurance Corporation Medical College, Alwar","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5441","All India","Government Medical College, Konni","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5442","Delhi University Quota","Maulana Azad Medical College, New Delhi","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5444","All India","MANDYA INST. OF MEDICAL SCI., MANDYA","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5445","All India","GOVT. MEDICAL COLLEGE, NAGPUR","MBBS","Not Reported","All India","GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5446","-","-","-","-","Open Seat Quota","AIIMS Guwahati","MBBS","Reported","All India","","ESIC MEDICAL COLLEGE AND HOSPITAL,BASAIDARAPUR, BASAIDARAPUR, NEW DELHI","MBBS","EWS","EWS","17","Upgraded"
"5447","All India","NALANDA MEDICAL COLLEGE, PATNA","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5448","All India","G.S.V.M. MEDICAL COLLEGE, KANPUR","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5449","All India","Hinduhridayasamrat Balasaheb Thackeray Medical College and Dr. R.
N. Cooper Municipal General Hospital, Maharashtra","MBBS","Not Reported","All India","GRANT MEDICAL COLL & SIR J.J.HOSP,MUMBAI","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5450","-","-","-","-","All India","DR.S.N. MEDICAL COLLEGE, JODHPUR","MBBS","Seat Surrendered","-","","-","-","-","-","-","Did not fill up fresh choices."
"5454","All India","Darbhanga Medical College, Laheriasarai","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5455","All India","KURNOOL MEDICAL COLLEGE, KURNOOL","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5456","All India","K.A.P. VISWANATHAM Govt Medical
College,TIRUCHIRAPALLI","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5461","All India","S.N. MEDICAL COLLEGE, AGRA","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5462","All India","G.S.V.M. MEDICAL COLLEGE, KANPUR","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5463","All India","GUWAHATI MEDICAL COLLEGE, GUWAHATI","MBBS","Reported","Open Seat Quota","AIIMS Guwahati","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5465","-","-","-","-","All India","DR.S.N. MEDICAL COLLEGE, JODHPUR","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5467","-","-","-","-","Open Seat Quota","AIIMS, Madurai","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5468","All India","GOVT. MOHAN KUMARAMANGALAM M.C.,SALEM","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5469","All India","JHALAWAR MEDICAL
COLLEGE, Jhalawar","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5470","Delhi University Quota","Lady Hardinge Medical College, New Delhi(Female Seat only )","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"5471","Open Seat Quota","AIIMS, Nagpur","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"5472","All India","Indira Gandhi Institute of Medical Sciences, Patna","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5473","-","-","-","-","All India","PATNA MEDICAL COLLEGE, PATNA","MBBS","Reported","-","","-","-","-","-","-","No Upgradation"
"5475","All India","GUNTUR MEDICAL COLLEGE, GUNTUR","MBBS","Reported","Open Seat Quota","JIPMER KARAIKAL","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5476","All India","Govt Medical College, Idukki","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5477","All India","Indira Gandhi Institute of Medical Sciences, Patna","MBBS","Seat Surrendered","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5478","All India","MAHARAJA K.C. GAJAPATI M.C.,BRAHMAPUR","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5479","All India","SHRI KALYAN GOVT MEDICAL COLLEGE SIKAR","MBBS","Not Reported","All India","Hinduhridayasamrat Balasaheb Thackeray Medical College and Dr. R.
N. Cooper Municipal General Hospital,
Maharashtra","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5481","All India","Osmania Medical College Koti","MBBS","Not Reported","-","-","-","-","Open Seat Quota","","Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002","MBBS","Open","EWS","5","Fresh Allotted in 3nd Round"
"5482","All India","S.N. MEDICAL COLLEGE, AGRA","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5483","-","-","-","-","-","-","-","-","All India","","LOKMANYA TILAK MUNICIPAL M C,MUMBAI,Dr.
Babasaheb Ambedkar Road, Sion, Mumbai, Maharashtra, 400022","MBBS","Open","General","1","Fresh Allotted in 3nd Round"
"5485","All India","SHRI KALYAN GOVT MEDICAL COLLEGE SIKAR","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not opt for Upgradation."
"5486","All India","GOVT. MEDICAL COLLEGE,TIRUNELVELI","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Not Allotted."
"5487","All India","Employees State Insurance Corporation Medical College, Alwar","MBBS","Reported","All India","ESI-MC&PGIMS&R,
Banglore","MBBS","Reported","All India","","ESIC Medical College, Hyderbad,Sanathnagar, Hyderabad, Telangana, 500038","MBBS","Open","General","3","Upgraded"
"5488","All India","Pt. D.D.U MEDICAL COLLEGE, RAJKOT","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5489","Delhi University Quota","Lady Hardinge Medical College, New Delhi(Female Seat only )","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5490","All India","Govt institute of Medcial Sciences, GREATER NOIDA","MBBS","Not Reported","All India","GOVERNMENT MEDICAL COLLEGE, SURAT","MBBS","Reported","-","","-","-","-","-","-","No Upgradation"
"5492","-","-","-","-","All India","NILRATAN SIRKAR MEDICAL COLLEGE, KOLKATA","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5494","All India","M.G.M. MEDICAL COLLEGE, INDORE","MBBS","Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5495","-","-","-","-","All India","DR.S.N. MEDICAL COLLEGE, JODHPUR","MBBS","Reported","-","","-","-","-","-","-","No Upgradation"
"5496","All India","DR.RAJENDRA PRASAD MC, TANDA","MBBS","Reported","All India","DR.S.N. MEDICAL COLLEGE, JODHPUR","MBBS","Reported","-","","-","-","-","-","-","No Upgradation"
"5498","-","-","-","-","All India","DR.S.N. MEDICAL COLLEGE, JODHPUR","MBBS","Reported","-","","-","-","-","-","-","Did not opt for Upgradation."
"5500","All India","SHRI KALYAN GOVT MEDICAL COLLEGE SIKAR","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5502","Open Seat Quota","AIIMS, Madurai","MBBS","Not Reported","-","-","-","-","-","","-","-","-","-","-","Did not fill up fresh choices."
"5503","-","-","-","-","Open Seat Quota","AIIMS, Madurai","MBBS","Reported","All India","","GOVERNMENT MEDICAL COLLEGE, SURAT,Out Side
Majura Gate, New Civil Hospital Campus, Opp. Income Tax office, Surat - 395001, Gujarat, 395001","MBBS","Open","OBC","9","Upgraded"
"5504","-","-","-","-","-","-","-","-","Open Seat Quota","","Jawaharlal Nehru Medical College, AMU,ALIGARH,ALIGARH MUSLIM UNIVERSITY,
ALIGARH, Uttar Pradesh, 202002","MBBS","Open","EWS","13","Fresh Allotted in 3nd Round"
